id,name,position,year
2734,Natalie Renehan,Crew,24
2735,Ryan Cloherty,Crew,22
2736,Ryan Standaert,Crew,24
2737,Emilia Ruth,Crew,23
2738,Juliana Ruggieri,Crew,23
2739,Jacqueline Rice,Crew,24
2740,Gabriella Schmidt,Crew,22
2741,Emma Cole,Crew,25
2742,Sophie Brett,Crew,25
2743,Caelan Haddock,Crew,25
2744,Ximena Escobar,Crew,25
2745,Elizabeth Shanahan,Crew,23
2746,Madeleine Sharp,Crew,22
2747,Madeline Kerr,Crew,23
2748,Maya Saterson,Crew,22
2749,Abigail Thress,Crew,24
2750,Lucy Mulvihill,Crew,22
2751,Francesca Edmands,Crew,25
2752,Sara Schumann,Crew,25
2753,Elizabeth Amelotte,Crew,24
2754,Shana Weitzen,Crew,25
2755,Paige Tyler,Crew,22
2756,Vincent (Vinny) Pallotto,Crew,23
2757,Ryan Potter,Crew,24
2758,Liz Kass,Crew,22
2759,Keller Morrison,Crew,25
2760,Alli Fischman,Crew,23
2761,Carly Kiss,Crew,25
2762,Magdelaina Putnam,Crew,25
2763,Claire Buckley,Crew,25
2764,Daniel Neville,Crew,25
2765,Avery Wilson,Crew,25
2766,Dominic Ioime,Crew,23
2767,Teo Flesher,Crew,23
2768,Carolyn Wang,Crew,23
2769,Grace Murphy,Crew,25
2770,Tyler Meadows,Crew,25
2771,Cecilia Adams,Crew,23
2772,Hailey McKelvie,Crew,22
2773,Leo Terry,Crew,25
2774,Ava Wilson,Crew,24
2775,Keilah Stypulkoski,Crew,23
2776,Sara Morrison,Crew,23
2777,Luisa Louchheim,Crew,25
2778,Schuyler Bartlett,Crew,25
2779,Annabel De Alessi,Crew,25
2780,Lachlan Hooper,Crew,25
2781,Maggie Alter,Crew,22
2782,Devin Hart,Crew,23
2783,Cassia Lee,Crew,23
2784,Rose O'Neal,Crew,22
2785,Nicolas Echarte,Crew,25
2786,Lillian Pinciaro,Crew,25
2787,Adam Larzelere,Crew,25
2788,Caleb Adams-Hull,Crew,23
2789,Eliza Crocker,Crew,23
2790,Maya Nguyen,Crew,24
2791,Jean Wanlass,Crew,25
2792,Lily Shore,Crew,24
2793,Sierra Bornheim,Crew,24
